"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Focused UI","Focus on Active Task","⇧⌥H","In Windows"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Run/Debug","Debug OSGi Framework","⇧⌘D O","In Windows"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Window","Next Editor","⌃Tab","In Windows"
"File","Save","⌘S","In Windows"
"Refactor - JavaScript","Extract Function","⌃⌘M","JavaScript View"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder Java scope"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Quick JUnit","JUnit テスト","⌘0","Editing Text"
"Run/Debug","Run Ant Build","⇧⌘X Q","In Windows"
"Text Editing","Text Start","Esc <","Editing Text"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Window","Update Project","⌥F5","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Run/Debug","Next Memory Monitor","⌃⌘N","In Memory View"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Window","Quick Switch Editor","⌘E","In Windows"
"Window","Previous Editor","⇧⌃Tab","In Windows"
"Run/Debug","Debug Ant Build","⇧⌘D Q","In Windows"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Edit","Context Information","⇧⌥?","In Windows"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Server","Run","⌃⌘R","In Servers View"
"Text Editing","Duplicate Lines","⌃⌘↑","Editing Text"
"Source","Remove Occurrence Annotations","⌃⌘U","Editing JavaScript Source"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Text Editing","Page Up","⌥V","Editing Text"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Navigate","Forward History","⌥⌘→","In Windows"
